"","GENECARDS","ENTRY-NAME"
"238.1","RPE","RPE_HUMAN"
"964","SEC23B","SC23B_HUMAN"
"965","PRKCD","KPCD_HUMAN"
"966","PODXL2","PDXL2_HUMAN"
"967","IDUA","IDUA_HUMAN"
"968","ZBTB49","ZBT49_HUMAN"
"969","UBE2K","UBE2K_HUMAN"
"970","OCIAD1","OCAD1_HUMAN"
"197.1","ZNF391","ZN391_HUMAN"
"971","KCTD20","KCD20_HUMAN"
"793.1","FBXO9","FBX9_HUMAN"
"691.1","KPNA5","IMA6_HUMAN"
"908.1","NPM2","NPM2_HUMAN"
"972","WWP1","WWP1_HUMAN"
"973","EDA","EDA_HUMAN"
"156.1","LUC7L3","LC7L3_HUMAN"
"161.2","ANKRD24","ANR24_HUMAN"
"974","GABRB1","GBRB1_HUMAN"
"565.2","PPP2R2A","2ABA_HUMAN"
"975","CCT2","TCPB_HUMAN"
"976","MAPK1IP1L","MISSL_HUMAN"
"82.4","VPS8","VPS8_HUMAN"
"977","PARP8","PARP8_HUMAN"
"978","C8orf44-SGK3","SGK3_HUMAN"
"112.1","NSMCE2","NSE2_HUMAN"
"128.1","NASP","NASP_HUMAN"
"430.1","DNAJC6","AUXI_HUMAN"
"270.2","AK5","KAD5_HUMAN"
"813.2","NBPF20","NBPFK_HUMAN"
"979","PPFIA4","LIPA4_HUMAN"
"275.1","ARV1","ARV1_HUMAN"
"980","FMN2","FMN2_HUMAN"
"945.1","USP47","UBP47_HUMAN"
"945.2","USP47","UBP47_HUMAN"
"612.1","C11orf58","SMAP_HUMAN"
"981","CARNS1","CRNS1_HUMAN"
"982","TPCN2","TPC2_HUMAN"
"983","RNF121","RN121_HUMAN"
"143.1","FDX1","ADX_HUMAN"
"984","HTR3B","5HT3B_HUMAN"
"985","GRIK4","GRIK4_HUMAN"
"370.3","KCNA6","KCNA6_HUMAN"
"986","YEATS4","YETS4_HUMAN"
"987","USP30","UBP30_HUMAN"
"291.2","RPH3A","RP3A_HUMAN"
"988","MTUS2","MTUS2_HUMAN"
"295.1","DNAJC3","DNJC3_HUMAN"
"989","NUBPL","NUBPL_HUMAN"
"647.2","MIPOL1","MIPO1_HUMAN"
"648.1","KIAA0586","TALD3_HUMAN"
"990","CHURC1-FNTB","B4DL54_HUMAN"
"991","CHURC1-FNTB","H0YIM3_HUMAN"
"992","CHURC1-FNTB","H0YIM9_HUMAN"
"993","CHURC1-FNTB","H0YJ25_HUMAN"
"994","IFI27L1","I27L1_HUMAN"
"300.3","APBA2","APBA2_HUMAN"
"301.1","GANC","GANC_HUMAN"
"479.1","TEX9","TEX9_HUMAN"
"995","SMAD3","SMAD3_HUMAN"
"996","UBE2Q2","UB2Q2_HUMAN"
"483.1","SNX29","SNX29_HUMAN"
"997","PDXDC1","PDXD1_HUMAN"
"44.1","PHKB","KPBB_HUMAN"
"308.2","SGSM2","SGSM2_HUMAN"
"998","PRPSAP2","KPRB_HUMAN"
"310.3","RHOT1","MIRO1_HUMAN"
"999","DOK6","DOK6_HUMAN"
"497.3","ZNF254","ZN254_HUMAN"
"1000","IAH1","IAH1_HUMAN"
"1001","CRIM1","CRIM1_HUMAN"
"1002","DNAH6","DYH6_HUMAN"
"1003","MRPS9","RT09_HUMAN"
"1004","CCDC138","CC138_HUMAN"
"1005","FBLN7","FBLN7_HUMAN"
"69.2","SNED1","SNED1_HUMAN"
"1006","PRNP","APRIO_HUMAN"
"1007","PRNP","PRIO_HUMAN"
"687.1","PLCB4","PLCB4_HUMAN"
"72.1","BCAS4","BCAS4_HUMAN"
"859.1","BACE2","BACE2_HUMAN"
"1008","DIP2A","DIP2A_HUMAN"
"1009","TAB1","TAB1_HUMAN"
"1010","MAP3K13","M3K13_HUMAN"
"1011","MAN2B2","MA2B2_HUMAN"
"1012","NFKB1","NFKB1_HUMAN"
"790.1","METTL14","MET14_HUMAN"
"669.1","C4orf33","CD033_HUMAN"
"536.1","ZNF131","ZN131_HUMAN"
"1013","NIM1K","NIM1_HUMAN"
"1014","NDST1","NDST1_HUMAN"
"543.1","CPLX2","CPLX2_HUMAN"
"1015","NSD1","NSD1_HUMAN"
"1016","TBC1D22B","TB22B_HUMAN"
"1017","MRAP2","MRAP2_HUMAN"
"1018","KIF25","KIF25_HUMAN"
"1019","TSPAN13","TSN13_HUMAN"
"1020","ACTR3B","ARP3B_HUMAN"
"869.1","VPS37A","VP37A_HUMAN"
"357.1","HGSNAT","HGNAT_HUMAN"
"693.1","RALYL","RALYL_HUMAN"
"603.3","SPIN1","SPIN1_HUMAN"
"1021","STXBP1","STXB1_HUMAN"
"1022","TBC1D15","TBC15_HUMAN"
"1023","ILF3","ILF3_HUMAN"
"1024","CEP250","CP250_HUMAN"
"1025","ATG7","ATG7_HUMAN"
"1026","PHF14","PHF14_HUMAN"
"1027","TRIM32","TRI32_HUMAN"
"1028","DCAF6","DCAF6_HUMAN"
"222.1","NEURL1","NEUL1_HUMAN"
"1029","PPFIBP2","LIPB2_HUMAN"
"1030","ARNTL","BMAL1_HUMAN"
"1031","MCF2L","MCF2L_HUMAN"
"1032","IFT43","IFT43_HUMAN"
"1033","INF2","INF2_HUMAN"
"1034","CASC4","CASC4_HUMAN"
"1035","BLM","BLM_HUMAN"
"1036","NLK","NLK_HUMAN"
"491.1","CTIF","CTIF_HUMAN"
"404.1","RNF13","RNF13_HUMAN"
"1037","EVC","EVC_HUMAN"
"1038","PLS3","PLST_HUMAN"
"267.1","IGSF21","IGS21_HUMAN"
"127.1","RBBP4","RBBP4_HUMAN"
"1039","SNX7","SNX7_HUMAN"
"1040","GPR158","GP158_HUMAN"
"1041","CCSER2","CCSE2_HUMAN"
"1042","WBP1L","WBP1L_HUMAN"
"18.4","LHPP","LHPP_HUMAN"
"932.1","MICAL2","MICA2_HUMAN"
"140.1","EXT2","EXT2_HUMAN"
"1043","KLC2","KLC2_HUMAN"
"461.2","CNOT2","CNOT2_HUMAN"
"1044","METTL25","MET25_HUMAN"
"1045","TDG","TDG_HUMAN"
"823.2","FBXW8","FBXW8_HUMAN"
"1046","SRSF5","SRSF5_HUMAN"
"299.6","SNRPN","RSMN_HUMAN"
"956.1","LRRC28","LRC28_HUMAN"
"1047","DUS2","DUS2L_HUMAN"
"1048","ADORA2B","AA2BR_HUMAN"
"1049","PSMG2","PSMG2_HUMAN"
"494.1","FZR1","FZR1_HUMAN"
"382.2","ARMC6","ARMC6_HUMAN"
"1050","LSM14A","LS14A_HUMAN"
"409.1","BRSK1","BRSK1_HUMAN"
"499.1","TRAPPC12","TPC12_HUMAN"
"236.1","EIF5B","IF2P_HUMAN"
"1051","PMS1","PMS1_HUMAN"
"1052","MFSD6","MFSD6_HUMAN"
"1053","NOP58","NOP58_HUMAN"
"1054","PSMD1","PSMD1_HUMAN"
"884.1","ANO7","ANO7_HUMAN"
"1006.1","PRNP","APRIO_HUMAN"
"1007.1","PRNP","PRIO_HUMAN"
"1055","RALGAPB","RLGPB_HUMAN"
"719.1","RTEL1-TNFRSF6B","D6RA96_HUMAN"
"1056","CACNA1I","CAC1I_HUMAN"
"185.1","CACNA2D3","CA2D3_HUMAN"
"1057","RASA2","RASA2_HUMAN"
"1058","ZNF141","ZN141_HUMAN"
"1059","CWH43","PG2IP_HUMAN"
"1060","RUFY3","RUFY3_HUMAN"
"1061","PRIMPOL","PRIPO_HUMAN"
"1062","SFXN1","SFXN1_HUMAN"
"1015.1","NSD1","NSD1_HUMAN"
"1063","HTR1E","5HT1E_HUMAN"
"101.4","CCM2","CCM2_HUMAN"
"1064","SNTG1","SNTG1_HUMAN"
"1065","SMC5","SMC5_HUMAN"
"875.2","CCDC22","CCD22_HUMAN"
"745.1","SGIP1","SGIP1_HUMAN"
"1066","SYT14","SYT14_HUMAN"
"606.1","C11orf80","TO6BL_HUMAN"
"380.2","MGAT5B","MGT5B_HUMAN"
"1067","MGAT5","MGT5A_HUMAN"
"1068","SPECC1L","CYTSA_HUMAN"
"104.6","FKBP6","FKBP6_HUMAN"
"406.1","DFFB","DFFB_HUMAN"
"808.1","UBE4B","UBE4B_HUMAN"
"1069","PPCS","PPCS_HUMAN"
"1070","MSH4","MSH4_HUMAN"
"610.2","PRKACB","KAPCB_HUMAN"
"219.1","NBPF10","NBPFA_HUMAN"
"1071","MARCH1","MARH1_HUMAN"
"438.1","CHRM3","ACM3_HUMAN"
"1072","EFCAB2","DRC8_HUMAN"
"1073","OR2L13","OR2LD_HUMAN"
"1074","STIM1","STIM1_HUMAN"
"140.2","EXT2","EXT2_HUMAN"
"915.1","NADSYN1","NADE_HUMAN"
"894.2","ARHGEF12","ARHGC_HUMAN"
"1075","RAB21","RAB21_HUMAN"
"705.1","RIC8B","RIC8B_HUMAN"
"987.1","USP30","UBP30_HUMAN"
"706.2","ZNF268","ZN268_HUMAN"
"1076","FRY","FRY_HUMAN"
"1077","PARP2","PARP2_HUMAN"
"1078","SNX29P2","S29P2_HUMAN"
"157.1","RAD51C","RA51C_HUMAN"
"53.1","UBA2","SAE2_HUMAN"
"409.2","BRSK1","BRSK1_HUMAN"
"1079","ZNF471","ZN471_HUMAN"
"804.1","TTC7A","TTC7A_HUMAN"
"1052.1","MFSD6","MFSD6_HUMAN"
"1080","PTPRA","PTPRA_HUMAN"
"661.1","EDN3","EDN3_HUMAN"
"1081","NCAM2","NCAM2_HUMAN"
"1008.1","DIP2A","DIP2A_HUMAN"
"1082","SGSM1","SGSM1_HUMAN"
"1083","SAMM50","SAM50_HUMAN"
"1084","DOCK3","DOCK3_HUMAN"
"1085","EEFSEC","SELB_HUMAN"
"1086","RAB7A","RAB7A_HUMAN"
"337.2","TBC1D19","TBC19_HUMAN"
"666.1","ADGRL3","AGRL3_HUMAN"
"597.1","AP1AR","AP1AR_HUMAN"
"725.2","ARFIP1","ARFP1_HUMAN"
"90.1","KLHL2","KLHL2_HUMAN"
"90.2","KLHL2","KLHL2_HUMAN"
"1087","DNAJC21","DJC21_HUMAN"
"191.3","NDUFS4","NDUS4_HUMAN"
"1088","LARP1","LARP1_HUMAN"
"793.2","FBXO9","FBX9_HUMAN"
"1089","ADGRB3","AGRB3_HUMAN"
"549.1","GRIK2","GRIK2_HUMAN"
"1090","C7orf26","CG026_HUMAN"
"351.1","ZNF713","ZN713_HUMAN"
"633.1","VPS50","VPS50_HUMAN"
"112.2","NSMCE2","NSE2_HUMAN"
"1091","VPS13A","VP13A_HUMAN"
"210.1","KRBOX4","KRBX4_HUMAN"
"1092","ZNF157","ZN157_HUMAN"
"950.1","FTSJ1","TRM7_HUMAN"
"213.2","RER1","RER1_HUMAN"
"128.2","NASP","NASP_HUMAN"
"1093","FAM20B","XYLK_HUMAN"
"1094","IPO7","IPO7_HUMAN"
"1095","MRPL42","RM42_HUMAN"
"829.1","FUT8","FUT8_HUMAN"
"1096","METTL22","MET22_HUMAN"
"1097","SPNS1","SPNS1_HUMAN"
"402.2","RHOQ","RHOQ_HUMAN"
"689.2","ATXN10","ATX10_HUMAN"
"1025.1","ATG7","ATG7_HUMAN"
"242.4","PDCD6IP","PDC6I_HUMAN"
"84.4","GRK4","GRK4_HUMAN"
"1098","TBC1D1","TBCD1_HUMAN"
"630.2","WDR19","WDR19_HUMAN"
"538.1","THBS4","TSP4_HUMAN"
"1099","ADGRV1","AGRV1_HUMAN"
"1100","CAST","ICAL_HUMAN"
"1101","ZFAND3","ZFAN3_HUMAN"
"1102","RPL7L1","RL7L_HUMAN"
"347.1","SMAP1","SMAP1_HUMAN"
"1103","KCNQ5","KCNQ5_HUMAN"
"1104","DPYSL2","DPYL2_HUMAN"
"1105","DCAF13","DCA13_HUMAN"
"1106","TBC1D31","TBC31_HUMAN"
"808.2","UBE4B","UBE4B_HUMAN"
"1028.1","DCAF6","DCAF6_HUMAN"
"1107","SWT1","SWT1_HUMAN"
"1108","CD46","MCP_HUMAN"
"1109","RPS6KC1","KS6C1_HUMAN"
"1110","RET","RET_HUMAN"
"16.1","FAM149B1","F149B_HUMAN"
"1111","CNNM2","CNNM2_HUMAN"
"1112","PDCD11","RRP5_HUMAN"
"932.2","MICAL2","MICA2_HUMAN"
"1113","SIPA1","SIPA1_HUMAN"
"585.1","EED","EED_HUMAN"
"285.1","DDX10","DDX10_HUMAN"
"25.1","ABCG4","ABCG4_HUMAN"
"286.1","EI24","EI24_HUMAN"
"752.1","USP15","UBP15_HUMAN"
"1114","CAND1","CAND1_HUMAN"
"1022.1","TBC1D15","TBC15_HUMAN"
"1115","ANKRD13A","AN13A_HUMAN"
"229.2","RNASEH2B","RNH2B_HUMAN"
"1116","RGS6","RGS6_HUMAN"
"1032.1","IFT43","IFT43_HUMAN"
"1117","CD276","CD276_HUMAN"
"1118","GLIS2","GLIS2_HUMAN"
"840.1","GGNBP2","GGNB2_HUMAN"
"1119","PDK2","PDK2_HUMAN"
"1120","LLGL2","L2GL2_HUMAN"
"1121","SEH1L","SEH1_HUMAN"
"491.2","CTIF","CTIF_HUMAN"
"1122","CNN2","CNN2_HUMAN"
"1123","MARCH2","MARH2_HUMAN"
"499.2","TRAPPC12","TPC12_HUMAN"
"167.1","ACYP2","ACYP2_HUMAN"
"503.1","ANKRD36","AN36A_HUMAN"
"505.1","CBWD2","CBWD2_HUMAN"
"593.2","UBR3","UBR3_HUMAN"
"62.3","GULP1","GULP1_HUMAN"
"1124","FASTKD2","FAKD2_HUMAN"
"1125","UNC80","UNC80_HUMAN"
"1126","SPAG16","SPG16_HUMAN"
"175.1","GIGYF2","GGYF2_HUMAN"
"687.2","PLCB4","PLCB4_HUMAN"
"886.1","DLGAP4","DLGP4_HUMAN"
"1127","CD40","TNR5_HUMAN"
"1128","NCOA3","NCOA3_HUMAN"
"1129","LSM14B","LS14B_HUMAN"
"1130","USP25","UBP25_HUMAN"
"1008.2","DIP2A","DIP2A_HUMAN"
"965.1","PRKCD","KPCD_HUMAN"
"404.2","RNF13","RNF13_HUMAN"
"84.5","GRK4","GRK4_HUMAN"
"535.1","ICE1","ICE1_HUMAN"
"1131","MARCH6","MARH6_HUMAN"
"536.2","ZNF131","ZN131_HUMAN"
"1132","ATG10","ATG10_HUMAN"
"1133","CDKAL1","CDKAL_HUMAN"
"1134","RNF8","RNF8_HUMAN"
"1135","LINC00271","CF217_HUMAN"
"352.3","RABGEF1","RABX5_HUMAN"
"107.2","CFAP69","CFA69_HUMAN"
"805.1","PILRB","PILRB_HUMAN"
"1136","IRF5","IRF5_HUMAN"
"1137","SLC25A37","MFRN1_HUMAN"
"202.4","SPIDR","SPIDR_HUMAN"
"1064.1","SNTG1","SNTG1_HUMAN"
"1138","PHF20L1","P20L1_HUMAN"
"1139","FKTN","FKTN_HUMAN"
"950.2","FTSJ1","TRM7_HUMAN"
"1140","HEPH","HEPH_HUMAN"
"1141","CHIC1","CHIC1_HUMAN"
"364.4","COL4A5","CO4A5_HUMAN"
"211.1","HPRT1","HPRT_HUMAN"
"1142","CD4","CD4_HUMAN"
"1143","PYROXD1","PYRD1_HUMAN"
"1144","APAF1","APAF_HUMAN"
"823.3","FBXW8","FBXW8_HUMAN"
"229.3","RNASEH2B","RNH2B_HUMAN"
"1145","PRPF39","PRP39_HUMAN"
"1146","VRK1","VRK1_HUMAN"
"1147","DNAAF1","DAAF1_HUMAN"
"712.1","RABEP1","RABE1_HUMAN"
"1023.1","ILF3","ILF3_HUMAN"
"920.1","MTA3","MTA3_HUMAN"
"1148","EMID1","EMID1_HUMAN"
"1149","CHL1","NCHL1_HUMAN"
"1150","PIK3CA","PK3CA_HUMAN"
"193.1","ATP6AP1L","VAS1L_HUMAN"
"1151","RBM27","RBM27_HUMAN"
"1152","MTBP","MTBP_HUMAN"
"1153","KANK1","KANK1_HUMAN"
"1154","ZBTB43","ZBT43_HUMAN"
"1155","ZFX","ZFX_HUMAN"
"1156","ATP7A","ATP7A_HUMAN"
"1157","ALG13","ALG13_HUMAN"
"1158","RAVER2","RAVR2_HUMAN"
"430.2","DNAJC6","AUXI_HUMAN"
"131.2","NDUFS2","NDUS2_HUMAN"
"1159","TNKS2","TNKS2_HUMAN"
"1160","PI4K2A","P4K2A_HUMAN"
"1161","PHRF1","PHRF1_HUMAN"
"1162","ZMYM2","ZMYM2_HUMAN"
"1163","GTF2F2","T2FB_HUMAN"
"374.1","PIBF1","PIBF1_HUMAN"
"760.1","FAM234A","F234A_HUMAN"
"1164","PHLPP1","PHLP1_HUMAN"
"166.1","DYNC2LI1","DC2L1_HUMAN"
"168.2","CTNNA2","CTNA2_HUMAN"
"503.2","ANKRD36","AN36A_HUMAN"
"623.1","DPP10","DPP10_HUMAN"
"717.1","PTPN4","PTN4_HUMAN"
"72.2","BCAS4","BCAS4_HUMAN"
"516.2","FAM209B","F209B_HUMAN"
"1165","ZNF589","ZN589_HUMAN"
"184.1","DNAH1","DYH1_HUMAN"
"523.1","NEK11","NEK11_HUMAN"
"1166","SORCS2","SORC2_HUMAN"
"1167","DCK","DCK_HUMAN"
"1168","SUB1","TCP4_HUMAN"
"94.1","CXXC5","CXXC5_HUMAN"
"95.2","SLC6A7","SC6A7_HUMAN"
"554.1","LANCL2","LANC2_HUMAN"
"1169","MAGED2","MAGD2_HUMAN"
"1170","MAMLD1","MAMD1_HUMAN"
"1171","HOOK1","HOOK1_HUMAN"
"1093.1","FAM20B","XYLK_HUMAN"
"275.2","ARV1","ARV1_HUMAN"
"1172","ADK","ADK_HUMAN"
"17.2","INPP5F","SAC2_HUMAN"
"1173","FAR1","FACR1_HUMAN"
"1174","PRDM11","PRD11_HUMAN"
"1175","SLC22A9","S22A9_HUMAN"
"1176","DRAM1","DRAM1_HUMAN"
"466.1","DNAJC15","DJC15_HUMAN"
"1177","SETDB2","SETB2_HUMAN"
"470.1","CGRRF1","CGRF1_HUMAN"
"1178","LGALS3","LEG3_HUMAN"
"956.2","LRRC28","LRC28_HUMAN"
"233.1","VMP1","VMP1_HUMAN"
"161.3","ANKRD24","ANR24_HUMAN"
"1179","MRPL4","RM04_HUMAN"
"1180","PGLS","6PGL_HUMAN"
"259.1","TTYH1","TTYH1_HUMAN"
"319.5","FAM228B","F228B_HUMAN"
"1181","NCOA1","NCOA1_HUMAN"
"1182","EML6","EMAL6_HUMAN"
"1183","ARHGAP25","RHG25_HUMAN"
"621.1","NCK2","NCK2_HUMAN"
"659.2","ARL6IP6","AR6P6_HUMAN"
"237.1","DCAF17","DCA17_HUMAN"
"1184","PLCL1","PLCL1_HUMAN"
"685.2","CARF","CARTF_HUMAN"
"883.1","MAP2","MTAP2_HUMAN"
"65.1","DNAJB2","DNJB2_HUMAN"
"1185","RBCK1","HOIL1_HUMAN"
"176.3","PANK2","PANK2_HUMAN"
"1186","CHMP4B","CHM4B_HUMAN"
"1187","CNTN6","CNTN6_HUMAN"
"1187.1","CNTN6","CNTN6_HUMAN"
"1188","UBE2E1","UB2E1_HUMAN"
"332.4","STXBP5L","STB5L_HUMAN"
"1189","KALRN","KALRN_HUMAN"
"245.1","MTHFD2L","MTD2L_HUMAN"
"535.2","ICE1","ICE1_HUMAN"
"1190","IPO11","IPO11_HUMAN"
"1191","ADAMTS19","ATS19_HUMAN"
"792.1","SQSTM1","SQSTM_HUMAN"
"348.2","ANKRD6","ANKR6_HUMAN"
"599.1","FAM120B","F120B_HUMAN"
"101.5","CCM2","CCM2_HUMAN"
"1192","VKORC1L1","VKORL_HUMAN"
"110.1","TNKS","TNKS1_HUMAN"
"678.2","HMBOX1","HMBX1_HUMAN"
"566.3","CSPP1","CSPP1_HUMAN"
"679.2","TMEM67","MKS3_HUMAN"
"1193","GAPVD1","GAPD1_HUMAN"
"1194","C9orf16","CI016_HUMAN"
"1195","RNF220","RN220_HUMAN"
"1196","UQCRH","QCR6_HUMAN"
"813.3","NBPF20","NBPFK_HUMAN"
"1197","DNAH14","DYH14_HUMAN"
"437.1","RYR2","RYR2_HUMAN"
"912.1","RAB18","RAB18_HUMAN"
"1198","ACADSB","ACDSB_HUMAN"
"982.1","TPCN2","TPC2_HUMAN"
"893.1","UVRAG","UVRAG_HUMAN"
"1199","ARID2","ARID2_HUMAN"
"1200","IFT88","IFT88_HUMAN"
"374.2","PIBF1","PIBF1_HUMAN"
"709.1","AKAP6","AKAP6_HUMAN"
"1201","BRMS1L","BRM1L_HUMAN"
"997.1","PDXDC1","PDXD1_HUMAN"
"1202","SLC5A11","SC5AB_HUMAN"
"1203","ZNF276","ZN276_HUMAN"
"1204","PRR29","PRR29_HUMAN"
"1205","RAB27B","RB27B_HUMAN"
"493.1","MADCAM1","MADCA_HUMAN"
"1008.3","DIP2A","DIP2A_HUMAN"
"76.3","GOLGA4","GOGA4_HUMAN"
"78.1","CLDN11","CLD11_HUMAN"
"1206","SNX25","SNX25_HUMAN"
"1168.1","SUB1","TCP4_HUMAN"
"1207","C5orf64","CE064_HUMAN"
"1208","RASA1","RASA1_HUMAN"
"544.1","UBR2","UBR2_HUMAN"
"1209","INMT","INMT_HUMAN"
"104.7","FKBP6","FKBP6_HUMAN"
"1210","PHTF2","PHTF2_HUMAN"
"872.1","FZD3","FZD3_HUMAN"
"1064.2","SNTG1","SNTG1_HUMAN"
"679.3","TMEM67","MKS3_HUMAN"
"1211","USP20","UBP20_HUMAN"
"447.2","PWWP2B","PWP2B_HUMAN"
"1212","FKBP10","FKB10_HUMAN"
"1213","URI1","RMP_HUMAN"
"1214","TNFRSF1B","TNR1B_HUMAN"
"645.1","PCCA","PCCA_HUMAN"
"40.1","SNX1","SNX1_HUMAN"
"1215","PPM1B","PPM1B_HUMAN"
"168.3","CTNNA2","CTNA2_HUMAN"
"1130.1","USP25","UBP25_HUMAN"
"1216","OXSR1","OXSR1_HUMAN"
"101.6","CCM2","CCM2_HUMAN"
"1217","ACO1","ACOC_HUMAN"
"1218","VAMP3","VAMP3_HUMAN"
"1219","SZRD1","SZRD1_HUMAN"
"127.2","RBBP4","RBBP4_HUMAN"
"812.2","SLC22A15","S22AF_HUMAN"
"1220","AMPD3","AMPD3_HUMAN"
"585.2","EED","EED_HUMAN"
"372.1","MON2","MON2_HUMAN"
"1221","CYP46A1","CP46A_HUMAN"
"299.7","SNRPN","RSMN_HUMAN"
"153.1","WWP2","WWP2_HUMAN"
"1222","PIGL","PIGL_HUMAN"
"621.2","NCK2","NCK2_HUMAN"
"59.6","R3HDM1","R3HD1_HUMAN"
"67.4","UBE2F-SCLY","H3BSR4_HUMAN"
"68.4","UBE2F-SCLY","H3BUI7_HUMAN"
"518.1","USP16","UBP16_HUMAN"
"1223","TMEM43","TMM43_HUMAN"
"412.2","ARIH2","ARI2_HUMAN"
"336.1","PIGG","PIGG_HUMAN"
"108.2","BCAP29","BAP29_HUMAN"
"681.1","HGH1","HGH1_HUMAN"
"207.2","FOCAD","FOCAD_HUMAN"
"1195.1","RNF220","RN220_HUMAN"
"1224","CELF2","CELF2_HUMAN"
"1172.1","ADK","ADK_HUMAN"
"932.3","MICAL2","MICA2_HUMAN"
"139.2","PRR5L","PRR5L_HUMAN"
"1225","USP35","UBP35_HUMAN"
"1226","ACAT1","THIL_HUMAN"
"1227","TMTC2","TMTC2_HUMAN"
"731.1","SPATA13","SPT13_HUMAN"
"1228","PDS5B","PDS5B_HUMAN"
"1229","WBP4","WBP4_HUMAN"
"645.2","PCCA","PCCA_HUMAN"
"469.1","SCFD1","SCFD1_HUMAN"
"1230","NEO1","NEO1_HUMAN"
"1047.1","DUS2","DUS2L_HUMAN"
"838.1","CDH13","CAD13_HUMAN"
"1231","SPIRE2","SPIR2_HUMAN"
"1232","DNAH9","DYH9_HUMAN"
"1233","SPECC1","CYTSB_HUMAN"
"1234","CNDP1","CNDP1_HUMAN"
"1235","STAMBP","STABP_HUMAN"
"168.4","CTNNA2","CTNA2_HUMAN"
"168.5","CTNNA2","CTNA2_HUMAN"
"59.7","R3HDM1","R3HD1_HUMAN"
"1236","HAT1","HAT1_HUMAN"
"1237","TRPM2","TRPM2_HUMAN"
"73.2","PCBP3","PCBP3_HUMAN"
"1238","CYTH4","CYH4_HUMAN"
"1239","TPRXL","TPRXL_HUMAN"
"1240","IFT122","IF122_HUMAN"
"1241","FYTTD1","UIF_HUMAN"
"967.1","IDUA","IDUA_HUMAN"
"189.2","LARP7","LARP7_HUMAN"
"1242","NDUFAF2","NDUF2_HUMAN"
"1062.1","SFXN1","SFXN1_HUMAN"
"1243","ZNF815P","ZN815_HUMAN"
"1244","ANKIB1","AKIB1_HUMAN"
"1245","IFRD1","IFRD1_HUMAN"
"874.1","GSN","GELS_HUMAN"
"1246","MTF2","MTF2_HUMAN"
"1247","CFHR4","FHR4_HUMAN"
"1248","LGALS8","LEG8_HUMAN"
"437.2","RYR2","RYR2_HUMAN"
"1029.1","PPFIBP2","LIPB2_HUMAN"
"1249","TMEM151A","T151A_HUMAN"
"1250","CTTN","SRC8_HUMAN"
"1251","ZNF740","ZN740_HUMAN"
"462.1","OTOGL","OTOGL_HUMAN"
"1252","CRADD","CRADD_HUMAN"
"1076.1","FRY","FRY_HUMAN"
"645.3","PCCA","PCCA_HUMAN"
"34.5","LRFN5","LRFN5_HUMAN"
"1253","RBFOX1","RFOX1_HUMAN"
"157.2","RAD51C","RA51C_HUMAN"
"1254","NEDD4L","NED4L_HUMAN"
"1255","ZNF236","ZN236_HUMAN"
"495.2","CCDC130","CC130_HUMAN"
"1256","PRMT1","ANM1_HUMAN"
"502.1","ALMS1","ALMS1_HUMAN"
"59.8","R3HDM1","R3HD1_HUMAN"
"237.2","DCAF17","DCA17_HUMAN"
"507.1","FAM171B","F171B_HUMAN"
"1257","NIF3L1","NIF3L_HUMAN"
"1080.1","PTPRA","PTPRA_HUMAN"
"176.4","PANK2","PANK2_HUMAN"
"1006.2","PRNP","APRIO_HUMAN"
"1007.2","PRNP","PRIO_HUMAN"
"1258","CABIN1","CABIN_HUMAN"
"1084.1","DOCK3","DOCK3_HUMAN"
"1259","KBTBD12","KBTBC_HUMAN"
"1260","UBA5","UBA5_HUMAN"
"1166.1","SORCS2","SORC2_HUMAN"
"665.1","ATP10D","AT10D_HUMAN"
"1261","SPEF2","SPEF2_HUMAN"
"1262","YTHDC2","YTDC2_HUMAN"
"390.2","SDHAF4","SDHF4_HUMAN"
"101.7","CCM2","CCM2_HUMAN"
"1263","RAMP3","RAMP3_HUMAN"
"419.1","RUNDC3B","RUN3B_HUMAN"
"1264","FDFT1","FDFT_HUMAN"
"1265","LRRCC1","LRCC1_HUMAN"
"635.1","PTPDC1","PTPC1_HUMAN"
"447.3","PWWP2B","PWP2B_HUMAN"
"1266","EIF2S1","IF2A_HUMAN"
"836.1","SH2B1","SH2B1_HUMAN"
"1267","C1QA","C1QA_HUMAN"
"1268","ZFYVE9","ZFYV9_HUMAN"
"1269","MPZL1","MPZL1_HUMAN"
"275.3","ARV1","ARV1_HUMAN"
"276.2","AKR1C1","AK1C1_HUMAN"
"1270","UNC5B","UNC5B_HUMAN"
"752.2","USP15","UBP15_HUMAN"
"975.1","CCT2","TCPB_HUMAN"
"462.2","OTOGL","OTOGL_HUMAN"
"706.3","ZNF268","ZN268_HUMAN"
"1162.1","ZMYM2","ZMYM2_HUMAN"
"230.2","UNC79","UNC79_HUMAN"
"37.2","KLC1","KLC1_HUMAN"
"996.1","UBE2Q2","UB2Q2_HUMAN"
"1202.1","SLC5A11","SC5AB_HUMAN"
"1271","NLRC5","NLRC5_HUMAN"
"308.3","SGSM2","SGSM2_HUMAN"
"1272","DHX40","DHX40_HUMAN"
"1273","HMSD","HMSD_HUMAN"
"1274","HMSD","HMSDV_HUMAN"
"495.3","CCDC130","CC130_HUMAN"
"768.1","COLGALT1","GT251_HUMAN"
"503.3","ANKRD36","AN36A_HUMAN"
"1275","SPOPL","SPOPL_HUMAN"
"1184.1","PLCL1","PLCL1_HUMAN"
